time,date,BTC price,change(%)


14:04:04,07/05/21,"802.888.427,60",None

14:11:13,07/05/21,"801.606.739,90",-0.15963459628273358%

14:11:55,07/05/21,"801.606.739,90",None

14:11:55,07/05/21,"801.186.274,20",-0.05245286486143834%

14:11:55,07/05/21,"801.186.274,20",None

14:11:55,07/05/21,"801.186.274,20",None

14:11:55,07/05/21,"801.186.274,20",None

14:11:55,07/05/21,"801.186.274,20",None

14:11:55,07/05/21,"800.978.844,40",-0.02589033370637736%

14:11:55,07/05/21,"800.978.844,40",None

15:12:22,07/05/21,"799.483.965,70",-0.18663148352185474%
15:23:45,07/05/21,"795.584.593,90",-0.4877360856869617%
15:24:06,07/05/21,"795.584.593,90",None
16:24:50,07/05/21,"800.256.879,50",+0.5872770332437208%
16:25:09,07/05/21,"801.383.901,40",+0.14083251626704402%
16:25:09,07/05/21,"801.383.901,40",None
16:25:09,07/05/21,"801.383.901,40",None
16:25:09,07/05/21,"801.383.901,40",None
16:25:09,07/05/21,"801.383.901,40",None
16:25:09,07/05/21,"801.383.901,40",None
16:25:09,07/05/21,"802.552.294,90",+0.14579697669978675%
16:25:09,07/05/21,"802.552.294,90",None
16:25:09,07/05/21,"802.552.294,90",None
16:25:09,07/05/21,"802.552.294,90",None
16:25:09,07/05/21,"802.552.294,90",None
16:25:09,07/05/21,"802.552.294,90",None
16:25:09,07/05/21,"802.355.399,30",-0.02453367852179122%
16:25:09,07/05/21,"803.700.362,50",+0.16762686475013888%
16:25:09,07/05/21,"803.700.362,50",None
16:25:09,07/05/21,"803.700.362,50",None
16:25:09,07/05/21,"803.700.362,50",None
16:25:09,07/05/21,"803.700.362,50",None
16:25:09,07/05/21,"803.700.362,50",None
16:25:09,07/05/21,"803.700.362,50",None
16:52:01,07/05/21,"803.708.569,20",+0.0010211143832907857%
14:37:12,21/05/21,"571.266.175,30",-28.921228764721263%
15:23:55,21/05/21,"572.950.198,40",+0.29478781920103364%
15:24:04,21/05/21,"572.950.198,40",None
15:24:43,21/05/21,"572.950.198,40",None
15:25:12,21/05/21,"572.950.198,40",None
15:26:55,21/05/21,"576.908.668,60",+0.6908925437244509%
15:27:17,21/05/21,"576.908.668,60",None
15:27:36,21/05/21,"577.045.204,10",+0.023666744396705706%
15:29:31,21/05/21,"577.045.204,10",None
15:30:05,21/05/21,"577.045.204,10",None
15:31:21,21/05/21,"576.851.215,20",-0.033617626248628955%
15:31:36,21/05/21,"576.851.215,20",None
15:32:01,21/05/21,"576.851.215,20",None
15:32:29,21/05/21,"576.851.215,20",None
15:32:57,21/05/21,"576.851.215,20",None
15:33:22,21/05/21,"576.851.215,20",None
15:34:28,21/05/21,"576.831.143,20",-0.0034795800842754294%
15:35:02,21/05/21,"576.831.143,20",None
15:35:33,21/05/21,"574.564.955,00",-0.3928685589734725%
15:36:44,21/05/21,"574.564.955,00",None
15:37:20,21/05/21,"574.564.955,00",None
15:38:02,21/05/21,"574.580.949,90",+0.0027838279833785123%
15:38:59,21/05/21,"574.580.949,90",None
15:39:47,21/05/21,"574.580.949,90",None
15:40:05,21/05/21,"574.584.948,70",+0.0006959506751428978%
15:40:16,21/05/21,"571.226.878,30",-0.5844341045824013%
15:40:31,21/05/21,"571.226.878,30",None
15:41:19,21/05/21,"571.226.878,30",None
15:42:52,21/05/21,"571.226.878,30",None
15:43:31,21/05/21,"571.226.878,30",None
15:44:01,21/05/21,"571.226.878,30",None
15:44:23,21/05/21,"571.226.878,30",None
15:47:12,21/05/21,"570.568.771,20",-0.11520940715508075%
15:47:32,21/05/21,"570.568.771,20",None
15:47:55,21/05/21,"570.568.771,20",None
15:49:45,21/05/21,"570.441.706,00",-0.022269918441699614%
09:50:35,27/05/21,"540.675.299,40",-5.218132946261124%
15:40:02,14/06/21,"558.422.221,80",+3.282362338300668%
13:25:32,03/07/21,"488.890.399,00",-12.451478484483184%
17:06:07,02/05/22,"562.721.131,70",+15.10169413247161%
